"Entidad_federativa","Nivel_educativo","Maestros","Escuelas","ciclo"
"Colima","Preescolar",1031,390,"2005-2006"
"Colima","Primaria",2917,477,"2005-2006"
"Colima","Secundaria",2632,161,"2005-2006"
"Colima","Media superior",1481,70,"2005-2006"
"Colima","Superior",2487,71,"2005-2006"
"Chiapas","Preescolar",11455,6801,"2005-2006"
"Chiapas","Primaria",30017,8587,"2005-2006"
"Chiapas","Secundaria",11780,1651,"2005-2006"
"Chiapas","Media superior",8174,532,"2005-2006"
"Chiapas","Superior",5753,145,"2005-2006"
"Chihuahua","Preescolar",5021,2155,"2005-2006"
"Chihuahua","Primaria",16927,2819,"2005-2006"
"Chihuahua","Secundaria",8756,705,"2005-2006"
"Chihuahua","Media superior",6951,435,"2005-2006"
"Chihuahua","Superior",7536,114,"2005-2006"
"Ciudad de México","Preescolar",13953,3684,"2005-2006"
"Ciudad de México","Primaria",36065,3386,"2005-2006"
"Ciudad de México","Secundaria",34554,1386,"2005-2006"
"Ciudad de México","Media superior",32272,674,"2005-2006"
"Ciudad de México","Superior",54543,579,"2005-2006"
"Durango","Preescolar",2963,1515,"2005-2006"
"Durango","Primaria",10088,2475,"2005-2006"
"Durango","Secundaria",6109,809,"2005-2006"
"Durango","Media superior",4275,199,"2005-2006"
"Durango","Superior",3591,94,"2005-2006"
"Guanajuato","Preescolar",9353,4125,"2005-2006"
"Guanajuato","Primaria",25777,4587,"2005-2006"
"Guanajuato","Secundaria",16636,1501,"2005-2006"
"Guanajuato","Media superior",10583,673,"2005-2006"
"Guanajuato","Superior",9626,254,"2005-2006"
"Guerrero","Preescolar",8407,3724,"2005-2006"
"Guerrero","Primaria",25212,4827,"2005-2006"
"Guerrero","Secundaria",10879,1365,"2005-2006"
"Guerrero","Media superior",6022,299,"2005-2006"
"Guerrero","Superior",4200,133,"2005-2006"
"Hidalgo","Preescolar",5256,3245,"2005-2006"
"Hidalgo","Primaria",16018,3240,"2005-2006"
"Hidalgo","Secundaria",8718,1108,"2005-2006"
"Hidalgo","Media superior",5385,251,"2005-2006"
"Hidalgo","Superior",4589,112,"2005-2006"
"Jalisco","Preescolar",12695,4851,"2005-2006"
"Jalisco","Primaria",32851,5819,"2005-2006"
"Jalisco","Secundaria",22004,1680,"2005-2006"
"Jalisco","Media superior",20322,519,"2005-2006"
"Jalisco","Superior",16532,261,"2005-2006"
"México","Preescolar",22889,8258,"2005-2006"
"México","Primaria",67304,7550,"2005-2006"
"México","Secundaria",42355,3340,"2005-2006"
"México","Media superior",31134,1175,"2005-2006"
"México","Superior",26675,375,"2005-2006"
"Michoacán","Preescolar",8291,3949,"2005-2006"
"Michoacán","Primaria",27731,5396,"2005-2006"
