Año,Clave_Ent,Entidad,CVEMUN,Municipio,Bien _jurídico_afectado,Tipo_de_delito,Subtipo_de_delito,Modalidad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo de ganado,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo de ganado,Sin violencia,0,0,0,0,0,0,0,0,0,0,0,1
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo de maquinaria,Robo de herramienta industrial o agrícola Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo de maquinaria,Robo de tractores Sin violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Con violencia",0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Robo de maquinaria,"Robo de cables, tubos y otros objetos destinados a servicios públicos Sin violencia",0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Otros robos,Con violencia,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Robo,Otros robos,Sin violencia,0,2,1,0,0,0,2,0,0,0,0,1
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Fraude,Fraude,Fraude,0,0,0,0,0,0,1,0,0,1,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Abuso de confianza,Abuso de confianza,Abuso de confianza,0,1,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Extorsión,Extorsión,Extorsión,0,0,0,0,0,0,0,1,0,0,0,1
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Daño a la propiedad,Daño a la propiedad,Daño a la propiedad,1,1,0,0,0,0,0,1,4,3,0,1
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Despojo,Despojo,Despojo,0,0,1,3,0,2,0,2,0,2,0,1
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,El patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,Otros delitos contra el patrimonio,0,0,0,0,0,0,0,0,1,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La familia,Violencia familiar,Violencia familiar,Violencia familiar,0,0,4,1,2,1,1,0,2,2,2,2
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,0,0,0,1,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La familia,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,Incumplimiento de obligaciones de asistencia familiar,0,0,1,1,0,0,1,2,0,0,0,2
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La familia,Otros delitos contra la familia,Otros delitos contra la familia,Otros delitos contra la familia,0,0,0,1,0,0,0,0,0,1,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La sociedad,Trata de personas,Trata de personas,Trata de personas,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,Otros bienes jurídicos afectados (del fuero común),Narcomenudeo,Narcomenudeo,Narcomenudeo,1,0,0,0,0,0,0,0,0,1,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,Otros bienes jurídicos afectados (del fuero común),Amenazas,Amenazas,Amenazas,0,1,1,0,0,0,1,1,0,1,0,2
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,Otros bienes jurídicos afectados (del fuero común),Allanamiento de morada,Allanamiento de morada,Allanamiento de morada,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,Otros bienes jurídicos afectados (del fuero común),Evasión de presos,Evasión de presos,Evasión de presos,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,Otros bienes jurídicos afectados (del fuero común),Falsedad,Falsedad,Falsedad,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,Otros bienes jurídicos afectados (del fuero común),Falsificación,Falsificación,Falsificación,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,Otros bienes jurídicos afectados (del fuero común),Contra el medio ambiente,Contra el medio ambiente,Contra el medio ambiente,0,0,0,0,0,1,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,Otros bienes jurídicos afectados (del fuero común),Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,Delitos cometidos por servidores públicos,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,Otros bienes jurídicos afectados (del fuero común),Electorales,Electorales,Electorales,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30001,Acajete,Otros bienes jurídicos afectados (del fuero común),Otros delitos del Fuero Común,Otros delitos del Fuero Común,Otros delitos del Fuero Común,1,0,2,1,0,0,1,0,0,3,1,0
2021,30,Veracruz de Ignacio de la Llave,30002,Acatlán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30002,Acatlán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30002,Acatlán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,0,0,0,0,0,0,0,0,0,0,0,0
2021,30,Veracruz de Ignacio de la Llave,30002,Acatlán,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,0,0,0,0,0,0,0,0,0,0,0,0
